State,Postcode,Associated residential areas,Reporting Year,Age group,Percent fully immunised (%),Interpret with caution  (#)
NSW,2161,"Guildford, Guildford West, Old Guildford, Yennora",2016-17,1 year,90.0-92.4, 
NSW,2162,"Chester Hill, Sefton",2016-17,1 year,85.0-89.9, 
NSW,2163,"Villawood, Carramar, Lansdowne",2016-17,1 year,90.0-92.4, 
NSW,2164,"Smithfield, Wetherill Park, Woodpark, Smithfield West",2016-17,1 year,85.0-89.9, 
NSW,2165,"Fairfield, Fairfield West, Fairfield Heights, Fairfield East",2016-17,1 year,90.0-92.4, 
NSW,2166,"Cabramatta, Canley Heights, Canley Vale, Cabramatta West, Lansvale",2016-17,1 year,90.0-92.4, 
NSW,2167,Glenfield,2016-17,1 year,90.0-92.4, 
NSW,2168,"Green Valley, Hinchinbrook, Busby, Ashcroft, Miller and 3 others",2016-17,1 year,92.5-94.9, 
NSW,2170,"Liverpool, Casula, Prestons, Mount Pritchard, Chipping Norton and 6 others",2016-17,1 year,90.0-92.4, 
NSW,2171,"West Hoxton, Cecil Hills, Hoxton Park, Horningsea Park, Middleton Grange and 3 others",2016-17,1 year,95.0-100.0, 
NSW,2172,"Voyager Point, Sandy Point, Pleasure Point",2016-17,1 year,92.5-94.9,#
NSW,2173,"Wattle Grove, Holsworthy",2016-17,1 year,95.0-100.0, 
NSW,2174,Edmondson Park,2016-17,1 year,95.0-100.0,#
NSW,2175,Horsley Park,2016-17,1 year,NP, 
NSW,2176,"Bossley Park, Edensor Park, St Johns Park, Greenfield Park, Wakeley and 2 others",2016-17,1 year,90.0-92.4, 
NSW,2177,"Bonnyrigg, Bonnyrigg Heights",2016-17,1 year,90.0-92.4, 
NSW,2178,"Kemps Creek, Cecil Park, Mount Vernon",2016-17,1 year,85.0-89.9,#
NSW,2179,"Austral, Leppington",2016-17,1 year,92.5-94.9,#
NSW,2190,"Greenacre, Mount Lewis, Chullora",2016-17,1 year,90.0-92.4, 
NSW,2191,Belfield,2016-17,1 year,90.0-92.4,#
NSW,2192,Belmore,2016-17,1 year,90.0-92.4, 
NSW,2193,"Canterbury, Hurlstone Park, Ashbury",2016-17,1 year,95.0-100.0, 
NSW,2194,Campsie,2016-17,1 year,90.0-92.4, 
NSW,2195,"Lakemba, Wiley Park",2016-17,1 year,90.0-92.4, 
NSW,2196,"Punchbowl, Roselands",2016-17,1 year,90.0-92.4, 
NSW,2197,Bass Hill,2016-17,1 year,92.5-94.9, 
NSW,2198,Georges Hall,2016-17,1 year,92.5-94.9, 
NSW,2199,Yagoona,2016-17,1 year,90.0-92.4, 
NSW,2200,"Bankstown, Condell Park, Mount Lewis, Bankstown North, Manahan",2016-17,1 year,90.0-92.4, 
NSW,2203,Dulwich Hill,2016-17,1 year,90.0-92.4, 
NSW,2204,"Marrickville, Marrickville South",2016-17,1 year,92.5-94.9, 
NSW,2205,"Arncliffe, Wolli Creek, Turrella",2016-17,1 year,90.0-92.4, 
NSW,2206,"Earlwood, Clemton Park",2016-17,1 year,92.5-94.9, 
NSW,2207,"Bexley, Bexley North, Bardwell Park, Bardwell Valley, Bexley South",2016-17,1 year,92.5-94.9, 
NSW,2208,"Kingsgrove, Kingsway West",2016-17,1 year,90.0-92.4, 
NSW,2209,"Beverly Hills, Narwee",2016-17,1 year,92.5-94.9, 
NSW,2210,"Riverwood, Peakhurst, Lugarno, Peakhurst Heights",2016-17,1 year,90.0-92.4, 
NSW,2211,"Padstow, Padstow Heights",2016-17,1 year,92.5-94.9, 
NSW,2212,"Revesby, Revesby Heights, Revesby North",2016-17,1 year,92.5-94.9, 
NSW,2213,"Panania, Picnic Point, East Hills",2016-17,1 year,95.0-100.0, 
