rlgs_affi_islam_%, sa3_code16, rlgs_affi_other_religions_%, rlgs_affi_inadq_desc_not_stated_%, rlgs_affi_christianity_%, prop_tot_pop_spk_lang_other_eng_home_%, rlgs_affi_buddhism_%, rlgs_affi_hinduism_%, year, sa3_name16, rlgs_affi_judaism_%, rlgs_affi_sec_other_spiritual_no_religoin_%
0.7,"12103",0.8,7.7,52.2,27.7,2.6,1.9,2016,"Kuringgai",2.7,31.5
0.6,"12104",0.4,11.4,46.5,19.6,2.3,1.8,2016,"North Sydney  Mosman",0.9,36.0
0.3,"12201",0.3,9.7,48.9,14.1,1.2,0.3,2016,"Manly",0.4,39.0
0.2,"12202",0.5,8.0,54.4,8.6,1.0,0.3,2016,"Pittwater",0.3,35.4
0.6,"12203",0.6,8.2,55.3,18.0,1.7,0.9,2016,"Warringah",0.3,32.4
1.5,"12301",0.4,5.8,70.3,10.7,1.0,0.7,2016,"Camden",0.1,20.2
7.9,"12302",1.1,8.4,57.4,30.3,2.6,4.4,2016,"Campbelltown (NSW)",null,18.1
0.4,"12303",0.2,7.1,69.3,5.7,0.5,0.1,2016,"Wollondilly",0.1,22.2
0.2,"12401",0.6,8.4,52.2,6.1,1.3,0.3,2016,"Blue Mountains",0.2,36.7
null,"12402",null,null,null,null,null,null,2016,"Blue Mountains  South",null,null
1.4,"12403",1.1,7.5,64.5,13.8,1.0,1.6,2016,"Penrith",null,22.7
0.5,"12404",0.3,10.7,64.2,7.0,0.7,0.2,2016,"Richmond  Windsor",0.1,23.3
4.0,"12405",0.9,8.4,64.3,24.2,1.2,2.2,2016,"St Marys",null,19.0
24.1,"12501",0.8,11.3,29.0,72.1,7.1,6.6,2016,"Auburn",null,21.0
3.2,"12502",1.1,7.1,51.8,49.9,4.4,3.2,2016,"Carlingford",0.1,29.1
22.3,"12503",1.1,8.6,46.8,59.5,5.1,3.9,2016,"Merrylands  Guildford",null,12.1
5.1,"12504",3.1,9.1,40.2,54.4,2.7,22.5,2016,"Parramatta",0.1,17.3
1.2,"12601",0.8,6.5,48.9,43.4,4.2,5.2,2016,"Pennant Hills  Epping",0.1,33.0
2.1,"12602",0.7,8.0,50.8,45.7,3.9,3.5,2016,"Ryde  Hunters Hill",0.5,30.3
10.0,"12701",1.5,8.4,58.4,49.1,7.0,3.2,2016,"Bringelly  Green Valley",null,11.4
4.6,"12702",1.0,7.2,52.9,70.5,21.0,0.7,2016,"Fairfield",null,12.7
12.6,"12703",4.2,9.8,51.4,50.8,3.7,6.2,2016,"Liverpool",null,12.2
0.6,"12801",0.2,7.4,65.1,13.9,1.2,0.5,2016,"Cronulla  Miranda  Caringbah",0.2,24.8
0.8,"12802",0.3,5.8,67.4,12.1,0.9,0.6,2016,"Sutherland  Menai  Heathcote",0.1,24.1
0.4,"20101",0.5,9.1,51.2,5.3,0.7,0.6,2016,"Ballarat",null,37.4
0.1,"20102",0.6,11.7,47.8,4.1,1.0,0.2,2016,"Creswick  Daylesford  Ballan",0.1,38.4
0.1,"20103",0.6,11.4,52.3,2.3,0.5,0.1,2016,"Maryborough  Pyrenees",null,34.9
0.5,"20201",0.5,9.6,51.2,5.0,1.0,0.5,2016,"Bendigo",null,36.6
0.1,"20202",0.5,12.5,44.2,3.6,0.9,0.2,2016,"Heathcote  Castlemaine  Kyneton",0.1,41.5
0.1,"20203",0.4,12.4,56.2,2.4,0.7,0.1,2016,"Loddon  Elmore",null,30.1
0.2,"20301",0.3,8.8,52.7,3.1,0.4,0.1,2016,"Barwon  West",null,37.5
1.3,"20302",0.7,9.6,53.2,12.2,1.1,0.9,2016,"Geelong",null,33.3
0.1,"20303",0.2,8.9,50.3,4.2,0.7,0.2,2016,"Surf Coast  Bellarine Peninsula",0.1,39.5
0.2,"20401",0.5,10.8,53.2,4.2,0.8,0.2,2016,"Upper Goulburn Valley",0.1,34.3
