"MEASURE","Data item","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",5.4,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2016","2016",8,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",1.5,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2016","2016",1.7,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",17.5,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2016","2016",20.5,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",9.7,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2016","2016",10.1,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",17.5,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2016","2016",16.2,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2011","2011",8.6,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11602","Blacktown - North","A","Annual","2016","2016",7.9,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2011","2011",45.6,,
"SCHOOL_2","With Post School Qualifications (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2016","2016",50,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2011","2011",1.7,,
"SCHOOL_3","With Postgraduate Degree (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2016","2016",3.1,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2011","2011",0.5,,
"SCHOOL_4","With Graduate Diploma/Graduate Certificate (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2016","2016",0.7,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2011","2011",9.2,,
"SCHOOL_5","With Bachelor Degree (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2016","2016",11.5,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2011","2011",5.8,,
"SCHOOL_6","With Advanced Diploma/Diploma (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2016","2016",7.5,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2011","2011",16.4,,
"SCHOOL_7","With Certificate (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2016","2016",17.2,,
"SCHOOL_8","Post School Qualifications - Inadequately described, not stated (%)","SA3","Statistical Area Level 3","11603","Mount Druitt","A","Annual","2011","2011",11.9,,
